@id,@type,name,@lat,@lon,railway,station,highway,amenity,public_transport
322770856,node,Naroda,23.0854097,72.6580946,station,,,,station
322983346,node,Vastrapur,23.0079064,72.5174367,station,,,,station
323120091,node,Maninagar,22.9986596,72.6114013,station,,,,station
323189766,node,Sabarmati,23.0770712,72.5890677,station,,,,station
429460556,node,,23.0241439,72.5804883,,,,,stop_position
440310550,node,Paldi Bus Stand,23.0140725,72.5645878,,,,bus_station,
566222693,node,Asarva,23.0440925,72.6132157,station,,,,station
566223451,node,Sardargram,23.0715012,72.6424393,station,,,,station
611572689,node,Acher,23.0987428,72.5883112,,,bus_stop,,
611572692,node,Gujarat Stadium (Motera),23.0945534,72.5951643,,,bus_stop,,
611572694,node,Shiv Shakti Nagar,23.1104959,72.5845990,,,bus_stop,,
611572695,node,Chandkheda Bus Depo,23.1151091,72.5832285,,,bus_stop,,
611572696,node,Janta Nagar (Parshwanath Nagar),23.1071309,72.5856397,,,bus_stop,,
611572697,node,ONGC Bus Depo,23.1036376,72.5867663,,,bus_stop,,
611573336,node,Police Stadium,23.0563204,72.5884185,,,bus_stop,,
611573340,node,Subhash Bridge,23.0655502,72.5837193,,,bus_stop,,
611573343,node,RTO Circle,23.0684819,72.5808869,,,bus_stop,,
611573366,node,Shahibaug Underbridge,23.0527171,72.5904999,,,bus_stop,,
631801190,node,,23.0119174,72.5689346,,,bus_stop,,
713294758,node,Viramgam Junction,23.1276285,72.0534930,station,,,,station
1206485486,node,Ahmedabad Junction,23.0251057,72.6017011,stop,,,,stop_position
1206485574,node,Ahmedabad Junction,23.0251068,72.6020896,stop,,,,stop_position
1206490577,node,Ahmedabad Junction,23.0251064,72.6019452,stop,,,,stop_position
1349429257,node,Kali Road,23.0980898,72.5780885,station,,,,station
1349429275,node,D-cabin,23.1023628,72.5702646,,,,bus_station,
1349429278,node,Vallabhpark,23.1015240,72.5765190,,,,bus_station,
1517258904,node,Koth Gangad,22.6271131,72.3006679,station,,,,station
1517908650,node,Bavla,22.8335871,72.3647449,station,,,,station
1545721824,node,Sarkhej,22.9821021,72.4975186,station,,,,station
1545874634,node,Arnej,22.5814229,72.2677840,halt,,,,halt
1782729611,node,,23.0268403,72.5806381,,,,,stop_position
1952514121,node,Nava-Vadaj,23.0682646,72.5624497,,,bus_stop,,
2068421652,node,Katosan Road Junction,23.4061031,72.2436640,station,,,,station
2068422100,node,Bhoyani,23.3610646,72.2343140,station,,,,station
2068743668,node,Jhund Junction,23.1607179,71.9341583,station,,,,station
2211705413,node,GST Crossing 1 (AMTS),23.0844751,72.5661042,,,bus_stop,,
2265925488,node,GMDC,23.0397128,72.5386288,,,bus_stop,,
2265925489,node,Bimanagar / Jhansi Ki Rani,23.0230285,72.5363300,,,bus_stop,,
2265925490,node,Nehru Nagar,23.0225299,72.5416944,,,bus_stop,,
2265925491,node,IIM,23.0346324,72.5360081,,,bus_stop,,platform
2265925492,node,,23.0242856,72.5312229,,,bus_stop,,
2265925493,node,Himmatlal Park,23.0297528,72.5324140,,,bus_stop,,
2265926056,node,Manek Baug,23.0183103,72.5440487,,,bus_stop,,
2265953631,node,Anjali Cross Road,23.0037230,72.5538743,,,bus_stop,,
2265953635,node,Rambaug,22.9999238,72.6006692,,,bus_stop,,
2265953636,node,Amarkunj /Swaminarayan College,23.0013898,72.5870103,,,bus_stop,,
2265953637,node,Bhairavnath,22.9954570,72.5990646,,,bus_stop,,
2265953638,node,Swaminarayan Mandir,22.9948853,72.6117044,,,bus_stop,,
2265953639,node,Shah Alam,22.9998665,72.5829655,,,bus_stop,,
2265953642,node,Jawahar Chowk,22.9951368,72.6050988,,,bus_stop,,platform
2265953643,node,Maninagar,22.9972369,72.6064312,,,bus_stop,,
2265953644,node,National Cloth Factory,22.9955236,72.5702090,,,bus_stop,,
2265953647,node,Gokulnath Chowk /Meera Cinema Char Rasta,22.9990894,72.5932198,,,bus_stop,,
2265953648,node,Kankaria Lake,23.0031799,72.5990158,,,bus_stop,,platform
2265953649,node,Maninagar Railway Station,22.9978049,72.6113755,,,bus_stop,,
2265953650,node,Kankaria Telephone Exchange,23.0024169,72.5928227,,,bus_stop,,
2265953651,node,Dharnidhar,23.0082114,72.5492824,,,bus_stop,,
2265953652,node,Chandranagar BRT,22.9997529,72.5580988,,,bus_stop,,
2265953653,node,Dani Limda,22.9964913,72.5774026,,,bus_stop,,
2288824667,node,AMTS,23.0660707,72.5321646,,,bus_stop,,
2288824668,node,Gulab Tower,23.0631171,72.5255748,,,bus_stop,,
2376612715,node,Ambli Road,23.0535306,72.4934085,station,,,,station
2668715940,node,Dholka,22.7315548,72.4344198,station,,,,station
2669084968,node,Ahmedabad Junction,23.0263312,72.6010000,station,,,,station
3161575026,node,Navrangpura,23.0355882,72.5641854,,,,bus_station,
3231323519,node,Airport Circle bus stop,23.0813883,72.6167476,,,bus_stop,,
3306683243,node,,22.9913719,72.6317562,,,,,stop_position
3306683465,node,,23.0117408,72.5621660,,,,,stop_position
3306683481,node,,23.0197224,72.5860957,,,bus_stop,,platform
3306683587,node,,23.0282432,72.5814362,,,,,stop_position
3306683590,node,,23.0326462,72.5701007,,,,,stop_position
3306683591,node,,23.0338698,72.5695244,,,,,stop_position
3306683598,node,,23.0345110,72.5692593,,,,,stop_position
3306683627,node,,23.0423375,72.5695809,,,,,stop_position
3306683628,node,,23.0433539,72.5697209,,,,,stop_position
3306683629,node,,23.0519878,72.5902552,,,,,stop_position
3306683638,node,,23.0555329,72.5719936,,,,,stop_position
3306683639,node,,23.0560223,72.5910561,,,,,stop_position
3306683642,node,,23.0603256,72.5919869,,,,,stop_position
3306683643,node,,23.0612354,72.5803090,,,,,stop_position
3306683644,node,,23.0621551,72.5952829,,,,,stop_position
3306683645,node,,23.0645512,72.5996029,,,,,stop_position
3306683646,node,,23.0719488,72.6038956,,,,,stop_position
3306683647,node,,23.0788487,72.6100908,,,,,stop_position
3306683648,node,,23.0804623,72.6171044,,,,,stop_position
3316875855,node,,23.0220727,72.5791010,,,bus_stop,,platform
3333487128,node,Maninagar Bus stop,22.9974600,72.6259649,,,,bus_station,
3333942359,node,Maninagar Railway Station,22.9986995,72.6109437,,,,bus_station,
3333960611,node,,22.9739626,72.5953013,,,bus_stop,,
3333960612,node,,22.9740487,72.5952484,,,bus_stop,,
3333960613,node,,22.9761795,72.6023816,,,bus_stop,,
3333960614,node,,22.9762426,72.6023401,,,bus_stop,,
3333960615,node,,22.9784932,72.6101868,,,bus_stop,,
3333960616,node,,22.9785615,72.6101750,,,bus_stop,,
3335600154,node,Naroda Gam,23.0770964,72.6558075,,,,bus_station,station
3336777167,node,Ahmedabad,23.0218734,72.5984903,,,,bus_station,station
3355748461,node,,23.0186671,72.5883471,,,,,stop_position
3355794772,node,Lal Darwaja AMTS Bus Stop,23.0241902,72.5785562,,,,bus_station,station
3393851425,node,Meghaninagar,23.0594578,72.6180264,,,bus_stop,,platform
3415672552,node,GMDC,23.0397496,72.5385489,,,bus_stop,,
3415672553,node,Memnagar,23.0455534,72.5424176,,,bus_stop,,platform
3415672554,node,Memnagar,23.0455543,72.5424739,,,bus_stop,,platform
